тока;current
положен.;laid down.
тока;current
положен.;laid down.
тока;current
положен.;laid down.
тока;current
положен.;laid down.
тока;current
положен.;laid down.
тока;current
положен.;laid down.
тока;current
положен.;laid down.
тока;current
положен.;laid down.
тока;current
положен.;laid down.
Задание;Exercise
Задание;Exercise
Задание;Exercise
угла;corner
ИНВЕРТОР;INVERTER
МЕХАНИКА;MECHANICS
ШИМ;SHIM
АД;AD
Угол;Corner
Скорость;Speed
ИНВ;INV
ШИМ;SHIM
АД;AD
Датчик;Sensor
тока;current
положен.;laid down.
Датчик;Sensor
График;Graphics
Время t, с;Time t, s
АД;AD
Задание;Exercise
Задание;Exercise
угла;corner
ИНВЕРТОР;INVERTER
МЕХАНИКА;MECHANICS
ШИМ;SHIM
АД;AD
Угол;Corner
Скорость;Speed
ИНВ;INV
ШИМ;SHIM
АД;AD
Датчик;Sensor
тока;current
положен.;laid down.
Датчик;Sensor
График;Graphics
Время t, с;Time t, s
АД;AD
Задание;Exercise
Задание;Exercise
угла;corner
АД;AD
Угол;Corner
ИНВ;INV
АД;AD
тока;current
положен.;laid down.
Время t, с;Time t, s
АД;AD
Задание;Exercise
Задание;Exercise
угла;corner
АД;AD
Угол;Corner
ИНВ;INV
АД;AD
тока;current
положен.;laid down.
Время t, с;Time t, s
АД;AD
АД;AD
АД;AD
АД;AD
Время t, с;Time t, s
АД;AD
Задание;Exercise
Задание;Exercise
угла;corner
АД;AD
Угол;Corner
ИНВ;INV
АД;AD
тока;current
положен.;laid down.
Время t, с;Time t, s
АД;AD
Задание;Exercise
Задание;Exercise
угла;corner
АД;AD
Угол;Corner
ИНВ;INV
АД;AD
тока;current
положен.;laid down.
Время t, с;Time t, s
АД;AD
Задание;Exercise
Задание;Exercise
угла;corner
АД;AD
Угол;Corner
ИНВ;INV
АД;AD
тока;current
положен.;laid down.
Время t, с;Time t, s
АД;AD
Задание;Exercise
Задание;Exercise
угла;corner
АД;AD
Угол;Corner
ИНВ;INV
АД;AD
тока;current
положен.;laid down.
Время t, с;Time t, s
АД;AD
